id	date	r1	r2	TG92300
CAMCL-TG134004-081	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-MISC/CAMCL-TG134004-081_S16_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-MISC/CAMCL-TG134004-081_S16_L001_R2_001.fastq.gz	87.88%
CAMCL-TG134008-081	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-MISC/CAMCL-TG134008-081_S17_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-MISC/CAMCL-TG134008-081_S17_L001_R2_001.fastq.gz	85.29%
GAS-1020-095	2019-03-19	/scratch/TGenNextGen/TGN-MiSeq0681/PMI-TGN_Bowers_PH-GAS/GAS-1020-095_S1_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0681/PMI-TGN_Bowers_PH-GAS/GAS-1020-095_S1_L001_R2_001.fastq.gz	92.06%
GAS-1021-095	2019-03-19	/scratch/TGenNextGen/TGN-MiSeq0681/PMI-TGN_Bowers_PH-GAS/GAS-1021-095_S2_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0681/PMI-TGN_Bowers_PH-GAS/GAS-1021-095_S2_L001_R2_001.fastq.gz	92.15%
GAS-1022-095	2019-03-19	/scratch/TGenNextGen/TGN-MiSeq0681/PMI-TGN_Bowers_PH-GAS/GAS-1022-095_S3_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0681/PMI-TGN_Bowers_PH-GAS/GAS-1022-095_S3_L001_R2_001.fastq.gz	91.38%
GAS-TG252930-095	2019-10-14	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-GAS/GAS-252930-095_S21_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-GAS/GAS-252930-095_S21_L001_R2_001.fastq.gz	89.50%
GAS-TG253206-081	2019-10-14	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-MISC/GAS-253206-081_S27_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-MISC/GAS-253206-081_S27_L001_R2_001.fastq.gz	90.13%
GAS-TG253208-081	2019-10-14	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-MISC/GAS-253208-081_S28_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-MISC/GAS-253208-081_S28_L001_R2_001.fastq.gz	90.12%
GAS-TG253210-095	2019-10-14	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-GAS/GAS-253210-095_S29_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-GAS/GAS-253210-095_S29_L001_R2_001.fastq.gz	90.85%
GAS-TG253212-095	2019-10-14	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-GAS/GAS-253212-095_S30_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-GAS/GAS-253212-095_S30_L001_R2_001.fastq.gz	88.89%
GAS-TG253214-095	2019-10-14	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-GAS/GAS-253214-095_S31_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-GAS/GAS-253214-095_S31_L001_R2_001.fastq.gz	92.51%
GAS-TG253216-095	2019-10-14	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-GAS/GAS-253216-095_S32_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-GAS/GAS-253216-095_S32_L001_R2_001.fastq.gz	89.95%
GAS-TG253218-095	2019-10-14	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-GAS/GAS-253218-095_S33_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-GAS/GAS-253218-095_S33_L001_R2_001.fastq.gz	46.25%
GAS-TG253220-095	2019-10-14	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-GAS/GAS-253220-095_S34_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-GAS/GAS-253220-095_S34_L001_R2_001.fastq.gz	92.22%
GAS-TG253222-095	2019-10-14	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-GAS/GAS-253222-095_S35_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-GAS/GAS-253222-095_S35_L001_R2_001.fastq.gz	89.89%
GAS-TG253224-095	2019-10-14	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-GAS/GAS-253224-095_S36_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-GAS/GAS-253224-095_S36_L001_R2_001.fastq.gz	92.12%
GAS-TG253226-095	2019-10-14	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-GAS/GAS-253226-095_S37_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0798/PMI-TGN_Bowers_PH-GAS/GAS-253226-095_S37_L001_R2_001.fastq.gz	89.67%
GAS-TG253534-095	2019-11-18	/scratch/TGenNextGen/TGN-MiniSeq0041/PMI-TGN_Bowers_PH-GAS/GAS-253534-095_S1_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiniSeq0041/PMI-TGN_Bowers_PH-GAS/GAS-253534-095_S1_L001_R2_001.fastq.gz	89.07%
GAS-TG253536-095	2019-11-18	/scratch/TGenNextGen/TGN-MiniSeq0041/PMI-TGN_Bowers_PH-GAS/GAS-253536-095_S2_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiniSeq0041/PMI-TGN_Bowers_PH-GAS/GAS-253536-095_S2_L001_R2_001.fastq.gz	92.36%
GAS-TG253538-095	2019-11-18	/scratch/TGenNextGen/TGN-MiniSeq0041/PMI-TGN_Bowers_PH-GAS/GAS-253538-095_S3_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiniSeq0041/PMI-TGN_Bowers_PH-GAS/GAS-253538-095_S3_L001_R2_001.fastq.gz	91.22%
