id	date	r1	r2	TG92300
31315	2016-08-03	/scratch/mvalentine/GAS_all_types_repo/15-16/31315_S10_L001_R1_001.fastq.gz	/scratch/mvalentine/GAS_all_types_repo/15-16/31315_S10_L001_R2_001.fastq.gz	89.87%
31316	2017-02-27	/scratch/mvalentine/GAS_all_types_repo/15-16/31316_S11_L001_R1_001.fastq.gz	/scratch/mvalentine/GAS_all_types_repo/15-16/31316_S11_L001_R2_001.fastq.gz	89.93%
31642	2016-08-03	/scratch/mvalentine/GAS_all_types_repo/15-16/31642_S12_L001_R1_001.fastq.gz	/scratch/mvalentine/GAS_all_types_repo/15-16/31642_S12_L001_R2_001.fastq.gz	89.92%
31896	2016-08-03	/scratch/mvalentine/GAS_all_types_repo/15-16/31896_S16_L001_R1_001.fastq.gz	/scratch/mvalentine/GAS_all_types_repo/15-16/31896_S16_L001_R2_001.fastq.gz	98.70%
A	2015-09-11	/scratch/mvalentine/AZDH_FMC_081715/FMC_select_AZDH_CCref_082715/FMC_CCref_fig2_082715/Paper_fig2_outbreak_refB_norecomb_083115/Fig2_add_NM_090915/A_S9_L001_R1_001.fastq.gz	/scratch/mvalentine/AZDH_FMC_081715/FMC_select_AZDH_CCref_082715/FMC_CCref_fig2_082715/Paper_fig2_outbreak_refB_norecomb_083115/Fig2_add_NM_090915/A_S9_L001_R2_001.fastq.gz	89.90%
AZ-TG92144	2017-02-27	/scratch/mvalentine/GAS_all_types_repo/AZ-TG92144_S15_L001_R1_001.fastq.gz	/scratch/mvalentine/GAS_all_types_repo/AZ-TG92144_S15_L001_R2_001.fastq.gz	89.53%
AZ_GAS_TG93633	2016-12-01	/scratch/TGenNextGen/TGN-MiSeq0346/CPHCP_AZ_GAS/AZ_GAS_TG93633_S15_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0346/CPHCP_AZ_GAS/AZ_GAS_TG93633_S15_L001_R2_001.fastq.gz	92.51%
AZ_GAS_TG93637	2016-12-01	/scratch/TGenNextGen/TGN-MiSeq0346/CPHCP_AZ_GAS/AZ_GAS_TG93637_S16_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0346/CPHCP_AZ_GAS/AZ_GAS_TG93637_S16_L001_R2_001.fastq.gz	92.27%
AZ_GAS_TG93641	2016-12-01	/scratch/TGenNextGen/TGN-MiSeq0346/CPHCP_AZ_GAS/AZ_GAS_TG93641_S17_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0346/CPHCP_AZ_GAS/AZ_GAS_TG93641_S17_L001_R2_001.fastq.gz	98.69%
AZ_GAS_TG93645	2016-12-01	/scratch/TGenNextGen/TGN-MiSeq0346/CPHCP_AZ_GAS/AZ_GAS_TG93645_S18_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0346/CPHCP_AZ_GAS/AZ_GAS_TG93645_S18_L001_R2_001.fastq.gz	91.89%
